pitch_id,title,characteristics,epicFit,ideaForSolution,internCandidate,maintenance,problem,smartToolsFit,success,whyNow
7663584,Add Ability to Hide/Collapse/Reorder Columns in SmartPhrase Manager,Allows users to move their columns and hide the ones they don't need.,"5. Software must work, maintain high quality. 8. Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","Make it easier for clinicians to do the right thing by giving them the ability to reorganize, hide, or collapse their columns in the SmartPhrase Manager. This will simplify their screens and remove another source of burnout.",,Low,"Clinicians are growing increasingly frustrated and burnt out by managing and maintaining their growing lists of SmartPhrases. Users have reported through immersions, user interviews, and ideas.epic.com that there is a lot of bloat in the SmartPhrase Manager. Proposed ideas like a last edited column or a last used column (among others) aim to help alleviate this problem by making maintenance easier, but adding additional columns further bloats the manager which makes the problem even worse.",,"Immersions, customer calls, and user surveys.","We have requests to add more information to the SmartPhrase Manager, but have run out of space. Users cannot change the order/visibility of unused columns."
7462287,Add SmartPhrase Usage Information to SmartPhrase Manager,Intuitive to use but not overwhelming. Also possibly having personalization options so that the users can customize the view a bit.,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","When users open SmartPhrase, it would be nice to see a column of how often a SmartPhrase is used so that they can clean up the SmartPhrases that are rarely used. As a physician builder, I'd also like to see what are the SmartPhrases used most often by my colleagues when I shared those phrases with them so that I know which ones I should keep up to date.",true,Low,"As a physician, I created many SmartPhrases over the years and often forgot about how I named those. I end up recreating a lot duplicates on the fly and now I have several similar SmartPhrases with different names. When I update my template, I updated one but end up not being the one I recently used. Users often ask how they can easily tell which SmartPhrase have been used and what they can delete since those are not used.",,Feature tracking on usage and possibly the deletion on phrases with usage under certain threshold.,Top requested feature. Often brought up in customer feedback.
349115,SmartList Wildcard Entry Box Not SmartTool Enabled When List Is Refreshable,The SmartLinks/SmartPhrases would have to be converted into plain text and have line breaks removed from the text so that it can be used in the wildcard even if it isn't initially the right format but the SmartTools should be able to work together.,This fits ST priorities because it would solve long standing existing pain points.,Allow users to add SmartPhrases and SmartLinks in SmartList wildcards to speed up their documentation and allow them to take full advantage of the SmartPhrases they created.,,,"Users create and use many SmartPhrases and are often aware of some useful SmartLinks that help speed up their documentation. If a user is documenting with a template that has a refreshable SmartList that contains a wildcard, they can't use their useful SmartPhrases or SmartLinks on this wildcard. Instead, users have to manually type out their answer to fill out this wildcard, slowing them down.","Wildcards would become more efficient in SmartLists, it would make simple smartphrases more usable, and would remove a frustration that end users encounter regularly.",,
709400,Allow Marking User SmartPhrases as Personal/Sensitive to Hide from Other Editors,"Create a button in the user SmartPhrase editor that allows it to only be searchable or viewable by editors so SmartPhrases that aren't meant to be shared don't have to be. There could also be an HDF setting to allow organizations to turn this feature off if they don't think SmartPhrases should ever be private. Private SmartPhrases should able to be changed back to public SmartPhrases at any point and vice versa, and allow it to be shared limitedly if users are added as editors so it can be shared if the owner gives permission.",This fits ST priorities because it would solve long standing existing pain points.,"Allow end users the choice to hide their SmartPhrases that aren't appropriate for others to use, preventing other users from searching or sharing SmartPhrases without the user's permission. This will make end users feel like they have control over their SmartPhrases.",,,"Users might create a SmartPhrase for a signature that doesn't make sense for other people to have access to or as a personal reference that isn't meant for others to use. If other people use their private SmartPhrases, this can make them feel like their privacy has been violated or annoyed that they can't control their personal smartphrases.",It will improve effectiveness because users already have the signature SmartPhrases but it will increase trust and feelings of security if they know that their personal information can't be taken by others.,SmartPhrases can be made private.,It was recently marked as a potential SPRE by a customer because they saw it as such a concern and it is regularly requested in ideas.epic.com.
722043,Create Calendar SmartLink or SmartLink You Can Pick Dates From,"It's easy to use, doesn't require knowing about the t+1/w-2 shortcuts, and matches UI that is used across Hyperspace and other apps.",This fits ST priorities because it would solve long standing existing pain points.,Users can use a calendar SmartLink that would popup an inline calendar for users to choose dates from.,,Shouldn't have much maintenance or testing costs once the SmartLink is made.,Users want to add dates to their notes but may not know the exact date. .reldate can pull in a date but only based on the current date so users have to look at another calendar if they want to find out what the date is 2 weeks from Friday. There are plenty of date fields with the calendar across hyperspace and other applications and it's functionality users want in their notes as well.,This improves efficiency because users don't have to open their phone or computer calendar to find the date they're looking for. The reldate parameter popup isn't particularly user friendly so picking a date from better UI would make this more of a joy to use.,Having a SmartLink that shows a calendar to pick a date on.,"Users have been requesting this for a long time, there are a bunch of linked SLGs and ideas.epic.com links and solving this now is better than putting it off for forever."
736777,Add Display Name Item for SmartText Record Lookup for Mixed Case Names in Hyperspace,Display name can be personalized to be end user or patient facing but should be required.,This fits ST priorities because it would solve long standing existing pain points.,"Allow analysts to add a display name to a SmartText so that anywhere the name of a SmartText is displayed, end users and patients can see a more readable title.",,,"End users can have SmartTexts with the name showing where patients see the title of the SmartText, which is in all caps. There's no way to change this currently so the end user or patient will see the title of the SmartText and may feel like the name is yelling at them. This is off putting and isn't appropriate for patients to be seeing.",This would make the system look better and be more of a joy to use because the SmartText title wouldn't look like it was really important because it was in all caps without having an option to change it.,,
803923,Add Highlight Functionality,"There's already a design and DLG! It has a good outline, it just needs to be continued.",This fits ST priorities because it would solve long standing existing pain points.,"Users can use highlighting in the STB, similar to how they use text color.",,"Shouldn't have maintenance, might need regression testing checks when changes are made to STB accessibility or certain types of copy/pasting changes.",Users would copy text from an external document that has highlighting but wouldn't be able to remove the highlighting without a lot of effort. They also couldn't highlight text that they wanted to emphasize and bolding or changing word color just doesn't catch attention like highlights do.,"It would improve efficiency with documentation by allowing users to remove highlighting they don't want without having to un-highlight in external programs or cut/paste as plain text but that would remove all other formatting too. If the highlighting is throughout a document, it's really inefficient to try to fix each individual line that has highlighting. It also would improve effectiveness of documentation because leaving in unnecessary highlighting might call attention to something while more important information for this context is skipped. It can also make the most important parts of a note or template really stand out, much more than bolding.",Can users highlight and remove highlighting within the STB.,"We have been getting this request regularly, including from 4 months ago. It's a paper cut that would be a big win for lots of people if we fixed it."
1123619,SmartTool Admin: Add Ability to Map/Link a SmartPhrase to a SmartData Element,"SDEs are applied when the SmartPhrase is used, removed if the SmartPhrase text is removed, and can be used to track usage for reporting.",This fits ST priorities because it would solve long standing existing pain points.,Allow analysts to add SDEs to system SmartPhrases in the SmartPhrase editor so SmartPhrases will add SDEs when end users add those SmartPhrases to their notes.,,,"Analysts add SDEs to SmartTexts and SmartLists so compliance officers can track all kinds of metrics and to pull in data for reporting. Since SmartPhrases can't have SDEs, analysts are having to build workarounds with SmartTexts in SmartLinks to allow for SDE use in SmartPhrases, requiring some analysts to spend extra time making those records. This can also prevent some analysts from adding SDEs if they don't know about this work around and compliance officers not getting all of the data they need for meaningful use analysis.",Make it easy to do the right thing.,,It's still being requested regularly.
2005922,Prevent Parts of a Note Template from Being Deleted,Allow sections of a SmartText to be required in a note in a way that makes deleting it difficult.,This fits ST priorities because it would solve long standing existing pain points.,"Add a SmartLink that could be used similarly to a sectioning SmartLink but nothing in that section can be deleted in the note. This allows it to be more flexible and only added to certain parts of a template. We could also make the section more like a warn on delete SmartLink so that if any part of it is about to get deleted, there is a warning saying something like 'this is required documentation, are you sure you want to delete this?' to allow more flexibility for end users. Or maybe have both options with different SmartLinks.",,,Organizational leads and compliance officers often have required SmartLists or documentation that they add for legal reasons. These sections must be filled out but end users can just delete it from any note and not have to do the documentation.,This would be a part of making it easy for users to do the right thing so that required documentation is actually filled out.,Parts of a template can be restricted from being deleted when added to a STB.,
2058026,SmartTool Editors Should Have a Preview Option,First fill the need and ensure consistent user experience on other similar feature they familiar with. Easy to use and flexible enough.,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.",Support similar preview we did in ETX editor.,true,low,"Currently, the SmartPhrase/Link Editors do not have preview options, so end users are unable to see how the SmartTools they are creating will look when actually inserted into a SmartTextBox. It would be awesome if we provided them with a way to preview how their SmartTools would look, similar to the Barcode preview. As a physician builder who consistently creating template to be shared, I would expect SmartPhrase to has same feature that SmartText had, preview is the big one. Also a lot of organization feels SmartPhrase actually provides more flexibility and easy to update template with urgent need so they lean toward using SmartPhrase more than SmartText.",,User satisfaction based on directly feedback/immersion. We can have feature tracking on usage of the preview feature which can be done in both POC and PRD.,A long standing pain point.
2430009,SmartLists to Use Capitalization for Sentence Case,"Customizable, allows for proper grammar without the builder having to anticipate where or how the SmartList options will be used.",This fits ST priorities because it would solve long standing existing pain points.,"If the SmartList is multiselect, only respect sentence case in the SmartList for the first selection but not the others. Optionally, add a button in the SmartList editor in case the capitalization should be respected so this option can be opted in or out. Ideally, the SmartList would also remove the capitalization of the first selection if it wasn't the beginning of a paragraph but that might not be feasible.",,,"Multi-select SmartLists are common in STBs but they cause sentences to be gramatically incorrect because the selections may have the first letter capitalized of the word, which makes the sentence look wrong. If the end user is normally a big stickler about grammar, this would probably drive them nuts. If they want to change the letter to fit the sentence, they would have to have a non-refreshable SmartList or remove the reselectability, which makes the tool less efficient to use in the future.",Makes SmartLists more of a joy to use because end users don't have grammatically incorrect sentences all over their notes with no way to correct it.,,
3892341,SmartPhrase Manager List - Add Column to Display the Last Contact Time,Efficiently and clearly display the information they want.,Well fit in almost all of our values.,Users could open the SmartPhrase manager and see a column showing when each SmartPhrase was last edited. Users would then know which SmartPhrases they have been maintaining and which ones they haven't touched for a long time.,true,Low,"As a physician, I want to have a ""last edited"" column for my SmartPhrases, so that I can easily track which phrases I am actively maintaining and identify those that haven't been updated in a long time, allowing me to efficiently manage and clean up my collection of SmartPhrases.","Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.",Customer happiness. We know for sure this would make them happy.,Top requested feature on idea.com and constantly mentioned from customer feedback.
7991592,Citations for text actions,Provide useful information but not interruptive.,"Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community. Innovate with infrastructure for system intelligence, such as building new agent components and UI for app teams to leverage.","As a user, I'd like to have citations that match the UI seen in summaries for text actions so I can consistently find my source content.",,,"As a user, when I've used the AI Text Assistant, I would like to be able to know what pertinent pieces of content were left in, what was left out, and where pieces of included content came from.",,,Citation in AI gen content becomes more common with upcoming app workflow starting in Nov 25.
7991593,Forager for custom text actions,Make it easy for user to create custom text action without needing to provide all the patient context each time manually. Save time on creating build.,"Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community. Innovate with infrastructure for system intelligence, such as building new agent components and UI for app teams to leverage.","As a user, I would want my text actions to be able to look up the required information from the chart.",,Relatively high because patient information is more sensitive information that we need to take extra cautious and effort to verify the accuracy.,"As a user, I expect that custom text actions to know information about my patient, but they do not.",,Probably can track accept rate and maybe time spent on building the custom action.,
7991596,Move AITA to Sous,No end user behavior change. Faster or as fast.,"Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community. Innovate with infrastructure for system intelligence, such as building new agent components and UI for app teams to leverage. Software must work, maintain high quality.","As an analyst, I would like the actions to live in Nebula so they can update with the model. As a developer, I would like the actions to be in Sous so they are reusable.",,Much lower maintenance cost going forward.,"As an analyst, if Epic released an update to a text assistant prompt, I must wait to get an SU. As a developer, the existing infrastructure for AITA is not reusable such that I can take advantage of the prompt AITA offers for my agents.",,Faster prompt change turn around.,greatly making prompt engineering update faster and save dev and QM time by reducing SU overhead.
7991597,Documentation agent,Make it easy to find SmartTools and how to use it without too much knowledge on SmartTools and how each type of SmartTools structured.,"Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community. Innovate with infrastructure for system intelligence, such as building new agent components and UI for app teams to leverage. Software must work, maintain high quality. Innovate with system intelligence for new SmartTools AI features. Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","As a builder, I'd expect that I can get suggestions or improvements for my SmartTool descriptions with minimal effort.",,,"As a user, it is challenging to find SmartTools because they have poor descriptions. As a user, it is challenging to know what a SmartTool does because it may have a low quality description.",,This is one of the main pain point and has been requested for a better solution for a very long time. So we should be able to get a lot of direct feedback.,The benefits of universal search will be lessened without better documentation throughout Epic. This will also help AI tools to be able to find content more easily.
7991598,Refreshability for AI SmartSections,Flexible and scalable. Consistent UI with existing AI feature.,"As part of template text action, this is sort of needed since otherwise, it is loss of functionality. So fit in Software must work, maintain high quality.","As a user, I'd like to be notified if content may be out of date and be given the option to refresh and regenerate content.",,,"As a user, my use of AI nukes refreshability from my notes, preventing me from seeing the most up-to-date information if the refreshable content should be able to update. As a user of templated text actions and AI SmartLinks, information summarized will not update past the initial resolution of AI content.",,,"Templated text actions will make this more necessary, as will AI SmartLinks. This is also very similar to what we've seen teams do to modify existing content in the event that they are acting upon the existing text box contents."
7991600,Accessibility agent,Reduce the time spent on doing accessibility related template build.,"Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community. Innovate with infrastructure for system intelligence, such as building new agent components and UI for app teams to leverage. Software must work, maintain high quality. Innovate with system intelligence for new SmartTools AI features. Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback.","As a builder, I'd like the system to do most of the heavy lifting of tagging and captioning for me. As a developer, I'd like these things to be agents that are reusable for my team which also desires to make documents or images accessible.",,,"As a builder, ensuring that my content is easily accessible via tagging is a lot of effort: it requires a lot of highlighting and clicking. As a builder, I rarely add captions to my images because that also requires a lot of clicking.",,Time saved on making SmartTools change.,There might be regulation requirements coming up in future to support more accessibility features in SmartTools build and/or reduce the burden to maintain the build.
7991974,Support SmartList reset in SmartSections,Consistent with current SmartList reset feature. Properly define what valid case to allow reset. Easy for customer to setup the workflow.,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback","Reset auto-reset SmartList in SmartSection (DAN) workflows). This would mean that in DAN, users could have a set of SmartLists that they need to automatically re-complete when their A+P notes are copy forwarded...less accidentally old data, easier updates.",,This requires build on ELT records but should be relatively small effort.,"DAN provides streamlined documentation -- for many notes, the primary documentation is in the Assessment and Plan note. As a place of heavy review/editing, autoreset SmartLists would allow for quicker documentation, and less need for manual combing through contents and manually reselecting SmartLinks. This would be a particular win in IP workflows where Diagnosis Aware Notes auto-copy forward, but we do not reset SmartLists.",,Direct feedback,"Without this, the whole SmartList reset feature could make it feel like incomplete. However, we also don't know if this would be pushed from customer until we have the first wave of the resetting feature out."
7992270,Create custom autocomplete model for EMC2,EMC2 users get better autocomplete suggestions within SmartTextBoxes.,,"As an EMC2 user, it would be great to see autocomplete suggestions as I type that are relevant to the language and structure used by Epic while writing designs, QA notes, or QA instructions. To accomplish this, we could collect data from EMC2 sources such as DLGs, QANs, SLGs, XDSs, etc. to create a new word completion model specific to EMC2 workflows.",,,"EMC2 users will soon see autocomplete predictions as they type in SmartTextBoxes throughout the software. However, the word completion piece of the current autocomplete model was built using data from Cosmos Notes, meaning that the predictions are often for medical terms that are less relevant in EMC2 workflows.",,,"We're planning to turn autocomplete on for all users in the November 25 version. If users find the suggestions unhelpful, they will likely turn off the functionality entirely, meaning they would miss out on any future improvements."
7992275,Improve touch mode support,Feature complete and good usability and accessibility,,"Address all ITF issues on PRJ 308851. The user would like to have similar experience in touch mode as if they were in hyperspace on desktop, this means to provide good experience with hover behavior, handle UX better on a relatively small screen, provide good user interaction with touch mode specific feature like virtual keyboard.",,,"As a user who utilizes the SmartText Box (STB) in touch mode, I want the ability to seamlessly use STB on tablets and other touch screen devices, so that I can efficiently document skin exams and other workflows as they become available on these platforms. Although my current day-to-day workflow does not heavily rely on tablets, I anticipate a shift with the upcoming release of Derm's first workflow designed for tablet use, which will enhance my documentation process.",,,This is soon impacting customer when the first touch mode customer facing feature: Derm skin exam gets released.
7992375,Organizations cannot disable individual text actions,,,Allow customers to work with TS to temporarily disable text actions.,,,"Currently, analysts and TS cannot disable certain text actions, only the entire AI Text Assistant. This means that if a text action is misbehaving, they are stuck between two unpleasant options, disable the text assistant or attempt to educate all users to not use this text action until we at Epic release a solution.",,,Highly requested enhancement from customers that would allow them to feel more confident rolling out broadly across their organization. LJ has already done much of the dev to create a TS utility to do this in DLG 2117627. We just need someone to finish this.
7992394,Agents don't have an easy way to write text to a textbox,,,,,,"Developers who are creating agents here at Epic are missing a key tool for agents to use, the ability to write to a textbox. With AI SmartSections, we have great UI and infrastructure setup for handling unreviewed AI generated text being placed in a textbox. What's missing is exposing these APIs to agents to allow an agent to put this unreviewed AI generated text in a textbox.",,,"Based on this 6/24/25 GenAI strategy monthly, a key way that agents will interact with the rest of the Epic system is through tools, which are: An API to do one thing, Usually deterministic, Has a structured input & output contract, Is used by agents, often via function calling. Exposing an API to allow agents to use function calling to write text to a textbox seems like an obvious foundation agent that would be useful in many workflows across Epic. Most of the work here is already done with AI SmartSections, we just need to expose it to agents now."
7992395,Personalization Station - Allow multiple versions of SmartPhrases on download,Allows users to avoid losing changes. Avoid duplication of SmartPhrases for providers working at multiple organizations.,"Cleaner experience, prevents frustrating mistakes, higher perceived quality since mental model is more intuitive and isn't creating bloat with extra copies of SmartPhrases.","It would be useful to have multiple versions of a SmartPhrase record, so the different versions are still logically linked, and the list of SmartPhrases isn't bloated. Regarding the second use case, this would also give a way to recover previous versions of the SmartPhrase when I re-download.",,"Requires some additional handling for multiple contacts for SmartPhrases, requires considering this. Technically, not required, since our solution doesn't have to be to treat these as different contacts.","From the perspective of a doctor working at two organizations each week: When I upload SmartPhrases from St Elsewhere Health, then go to download them at the second hospital, PPTH, that works fine. However, when I make changes to these SmartPhrases and upload from PPTH, it creates a second copy at St Elsewhere when I re-download. I would prefer if making changes at PPTH would carry over back to St Elsewhere. Additionally, if I re-upload at St Elsewhere and re-download at PPTH, it overwrote my build changes which wasted hours of work.",,"Useful feature tracking metrics: How often we create multiple versions on a download, How often a user has changed the active version of a SmartPhrase. Would also be good to revisit estimated numbers for how many providers have used this feature at multiple locations (could probably check Epic Earth database).","Losing changes to SmartPhrases could lead to severe provider frustration. Avoiding duplication makes the process less confusing and more cleanly aligns with the mental model of a single source of truth, even if there are still different versions of the SmartPhrase."
7992406,Using ctrl+A does not pull up the text assistant like some folks expect it would,"Make highlight all text -> pick or write a text action -> resolve the text action an easy all keyboard workflow. Make sure that focus isn't confusing or disruptive, for both non-screen reader and scree reader users.",Making progress on AI text assistant,"A user selects all with Ctrl+A intending to take action on all the text in their text box, and the AI Text Assistant to give them options to reformat, rephrase, etc.",,,"When a user highlights all text using the keyboard shortcut, Ctrl+A, the AI Text Assistant does not appear. Some clinicians, Dr. Velasco in particular and others on office hours calls agreed, that this is confusing and slows them down in their keyboard workflows.",,,"This seems like a potential quick win. Ctrl+F6 to open the text assistant is not likely to be a commonly used keyboard shortcut. Ctrl+A is far more common. Please note though that some more thought is worth putting into this. For example, in word, Ctrl+A does not open a mini toolbar, perhaps there is good reason for this."
7992420,People can click looks good without reviewing all AI text,"Make this intuitive, easy, and as friction free as possible. Feature tracking on this seems valuable to know more about the reading habits of users using the text assistant and other AI features with unreviewed text.",Making progress on AI Text Assistant,Users could be guided by the UI to scroll down throughout the full unreviewed AI generated text before they can click looks good.,,,"Currently, users can click looks good on unreviewed AI generated text without even having seen all of the AI content. This means they could be accepting text that is inaccurate.",,,"Folks at office hours were a big fan of this idea, even though it does reduce usability. This is the same group that was on board with off-by-default for SDE safeguards, so to see them prioritize safety over usability here is quite telling of how important at least some folks in the community view this as."
7992424,Personalization Station - Create editor card to highlight reconciliation issues,Streamlines the process of resolving SmartPhrases.,"Improves quality and helps an existing pain point, sets us up to improve finding build in the further future (e.g., relating to Peter Wei Lin or Tim's project).",Improve the upload/download actions card in the SmartPhrase editor to highlight with clickable links which parts of the SmartPhrase need to be resolved.,,"New UI to maintain, could be useful candidate for automated scripts.","From perspective of a doctor who has moved to a new organization: I have downloaded my SmartPhrases, but some build is missing. I don't understand what I need to do to fix it. This is especially difficult for large SmartPhrases that use a lot of SmartLinks.",,"Feature track how often this card is interacted with, detect how many SmartPhrases have been marked as reviewed.",Avoids confusion when build is removed from downloaded SmartPhrases.
5094667,Handle SmartLink Parameters that Undergo Translation in Higher Versions but Not in Lower Versions,Works automatically!,"Solving existing pain points, such as ideas frequently reported during immersion, submitted through ideas.epic.com, or from other forms of feedback. Other types of app team support.",It would be nice if we had a way to just use the original values I configure in cases where the Epic system doesn't know how to process the SmartLink user parameters.,,Overall a decrease for maintenance.,"As a customer builder, I am frustrated that SmartLink user parameters have issues when moved via Data Courier where the ID is converted to a CID, but fails to convert back. Further more, I am frustrated that copies of CERMSG (and other SmartLinks) don't automatically update the embedded record IDs, although that is a future problem to fix according to my Epic TS (QAN 4694963).",Tools we develop should be easy to build.,,"Makes development and customer support easier since custom handling doesn't need to be made for each affected SmartLinks, updates for customer created copies of these SmartLinks, etc. This is a pre-req needed for addressing QAN 4694963 which would fully automate Data Courier / Turbocharger dependency calculation, EMFI/DC/TC ID translation, etc which is where the biggest benefit will be seen."
6360073,Allow User To Switch Spell Check Language Ad-Hoc,Allow user specific default used across all SmartTextBoxes. Allow user level overrides for a given SmartTextBox (on the fly). Allow app teams to specify the language (via locale ID) building off of the change made in DLG 2127300.,,If I could switch the language I use for spell checking on the fly I can entire the notes and letters I create include words that are spelled correctly.,,Expected to be low since these would be user settings.,"As a physician who is fluent in multiple languages, I meet with patients that speak a variety of languages. When I type out patient instructions for my patients, many words are marked as misspelled because spell checking only works for the default language used for the Epic system.",,"Feature tracking around users changing these settings, especially for the on the fly case.",We increasingly see more and more content being created across a variety of languages. Translation workflows are also becoming increasingly an area of focus for R&D.
